,treino,previsto
gamma1,[0.23174148998607602],[0.23176337778568268]
gamma2,[0.9594850618366995],[0.9580115079879761]
gamma3,[0.3194518385537368],[0.3193398714065552]
gamma4,[0.6011422885889965],[0.6017834544181824]
JXX,[0.9164187596345457],[0.9142679572105408]
JXY,[-0.7192628198472104],[-0.7170457243919373]
JXZ,[-0.9527677057223489],[-0.9531484246253967]
JYX,[0.997261307345829],[0.995788037776947]
JYY,[-0.6314927085942939],[-0.6323626041412354]
JYZ,[-0.75881587356935],[-0.75816810131073]
JZX,[0.3028424811158388],[0.30313488841056824]
JZY,[-0.3087103248748666],[-0.31017249822616577]
JZZ,[0.7791018795916058],[0.7780708074569702]
