,treino,previsto
gamma1,[0.3020437047996458],[0.3019730746746063]
gamma2,[0.335063350697719],[0.33504152297973633]
gamma3,[0.14195051753283405],[0.14189839363098145]
gamma4,[0.7434142500319177],[0.7434826493263245]
JXX,[-0.2769544501718497],[-0.27699214220046997]
JXY,[-0.039038668797412024],[-0.03899122774600983]
JXZ,[-0.16609474678867042],[-0.16617298126220703]
JYX,[-0.10648149243215355],[-0.10645435750484467]
JYY,[-0.1809685401002077],[-0.1809840351343155]
JYZ,[0.31541165278854155],[0.3154216408729553]
JZX,[-0.48228923621984343],[-0.48231053352355957]
JZY,[0.2699918482069683],[0.270020991563797]
JZZ,[-0.97974325274531],[-0.979788601398468]
