,treino,previsto
gamma1,[0.22192817569031764],[0.23906651139259338]
gamma2,[0.5366800081748135],[0.5109042525291443]
gamma3,[0.2766826434414502],[0.27808424830436707]
gamma4,[0.1726645292853689],[0.14561131596565247]
JXX,[-0.527903820525131],[-0.6728687286376953]
JXY,[-0.7936679315385684],[-0.9238361716270447]
JXZ,[-0.20788351477863798],[-0.32337766885757446]
JYX,[-0.6900554583951795],[-0.7167525887489319]
JYY,[-0.8669698086408202],[-0.8814189434051514]
JYZ,[-0.19681797102985032],[-0.2818085551261902]
JZX,[0.8359100861754378],[0.8116990923881531]
JZY,[0.600904702991617],[0.5740570425987244]
JZZ,[0.5303252050108769],[0.4937148690223694]
