,treino,previsto
gamma1,[0.45594588118356716],[0.45599165558815]
gamma2,[0.047887516459941715],[0.04789971560239792]
gamma3,[0.9329624000750505],[0.9328175783157349]
gamma4,[0.9470780060029439],[0.9468594193458557]
JXX,[-0.7086614897917394],[-0.7085276246070862]
JXY,[-0.0901459909719573],[-0.0900118350982666]
JXZ,[0.5415676113180443],[0.5415171384811401]
JYX,[0.4110264538680559],[0.4108736217021942]
JYY,[0.4639179460665115],[0.463885635137558]
JYZ,[-0.1329711302091925],[-0.13301217555999756]
JZX,[0.6000409142668555],[0.599994421005249]
JZY,[0.0658028292851427],[0.06576016545295715]
JZZ,[-0.8396925816429961],[-0.8395858407020569]
