,treino,previsto
gamma1,[0.842263936662764],[0.841950535774231]
gamma2,[0.13110224609376742],[0.13115307688713074]
gamma3,[0.18758620471677123],[0.18743814527988434]
gamma4,[0.02779642050712894],[0.027809178456664085]
JXX,[-0.774085659647674],[-0.7739428281784058]
JXY,[-0.738295666193135],[-0.7381091713905334]
JXZ,[0.1945217804922421],[0.19452239573001862]
JYX,[-0.643909152948758],[-0.643650472164154]
JYY,[-0.7350065613100774],[-0.734700083732605]
JYZ,[-0.07180288786206579],[-0.0718773603439331]
JZX,[-0.16486406011996246],[-0.16494864225387573]
JZY,[-0.5733417102051386],[-0.5732514262199402]
JZZ,[-0.21664558108338805],[-0.2165112942457199]
