,treino,previsto
gamma1,[0.7314719162578773],[0.627399206161499]
gamma2,[0.5481151083373056],[0.515248715877533]
gamma3,[0.6289233814359761],[0.632987380027771]
gamma4,[0.5860643734085744],[0.5376079678535461]
JXX,[-0.512964474581326],[-0.30335479974746704]
JXY,[0.004417979006311912],[0.07662828266620636]
JXZ,[-0.6761249714183881],[-0.6275845170021057]
JYX,[0.6424444316865625],[0.5321298837661743]
JYY,[-0.5372009749323281],[-0.44239720702171326]
JYZ,[0.10465728127714469],[0.0584874264895916]
JZX,[0.8527148495207293],[0.7613781094551086]
JZY,[-0.20524249153897567],[-0.14689169824123383]
JZZ,[0.9357357839289453],[0.9244242310523987]
