,treino,previsto
gamma1,[0.31450434093874435],[0.3054996132850647]
gamma2,[0.25508215274135215],[0.24465268850326538]
gamma3,[0.33905230728624136],[0.34096941351890564]
gamma4,[0.27594881602881005],[0.2772068977355957]
JXX,[-0.25881137975062707],[-0.25439149141311646]
JXY,[0.8152502726521875],[0.8190297484397888]
JXZ,[-0.2079467635711556],[-0.19448256492614746]
JYX,[-0.587893141865695],[-0.5698791146278381]
JYY,[0.6355952820309936],[0.6325489282608032]
JYZ,[0.5175681866126696],[0.5026190280914307]
JZX,[0.3965657038489854],[0.38898175954818726]
JZY,[-0.95637294402159],[-0.9946286082267761]
JZZ,[-0.18553914661270632],[-0.19152607023715973]
