,treino,previsto
gamma1,[0.8150630762603065],[0.8150119781494141]
gamma2,[0.3681203650383047],[0.36819541454315186]
gamma3,[0.07083953646328556],[0.0707821398973465]
gamma4,[0.43788188302104547],[0.4379431903362274]
JXX,[-0.6109255041336379],[-0.6109521389007568]
JXY,[0.6121546029321616],[0.6120811104774475]
JXZ,[-0.25588029746786645],[-0.25568056106567383]
JYX,[0.6840539845332714],[0.6840656995773315]
JYY,[0.5925904370985218],[0.5925507545471191]
JYZ,[0.1486956182422896],[0.14866520464420319]
JZX,[0.11579696496935821],[0.1159876361489296]
JZY,[-0.9168161896383005],[-0.916959285736084]
JZZ,[0.7764692864270932],[0.7762669920921326]
