,treino,previsto
gamma1,[0.6813356007212419],[0.6997401714324951]
gamma2,[0.07656360097525783],[0.07973940670490265]
gamma3,[0.8604384375404843],[0.8736366629600525]
gamma4,[0.46768415435630595],[0.4639626443386078]
JXX,[-0.837818670752231],[-0.8567630648612976]
JXY,[0.2136055782918591],[0.2142036110162735]
JXZ,[0.9954557010352247],[1.0149587392807007]
JYX,[-0.7188265123325341],[-0.7236613631248474]
JYY,[0.704572082529658],[0.692389965057373]
JYZ,[-0.7008545123478973],[-0.7005124092102051]
JZX,[-0.16795724132015688],[-0.16693872213363647]
JZY,[0.7918128551580439],[0.7878764271736145]
JZZ,[-0.40060849944206534],[-0.38677042722702026]
