,treino,previsto
gamma1,[0.7314719162578773],[0.660929799079895]
gamma2,[0.5481151083373056],[0.5392852425575256]
gamma3,[0.6289233814359761],[0.636603832244873]
gamma4,[0.5860643734085744],[0.5531150102615356]
JXX,[-0.512964474581326],[-0.349655419588089]
JXY,[0.004417979006311912],[0.06686675548553467]
JXZ,[-0.6761249714183881],[-0.6521981954574585]
JYX,[0.6424444316865625],[0.559342086315155]
JYY,[-0.5372009749323281],[-0.46413925290107727]
JYZ,[0.10465728127714469],[0.07223962992429733]
JZX,[0.8527148495207293],[0.7898690700531006]
JZY,[-0.20524249153897567],[-0.15914902091026306]
JZZ,[0.9357357839289453],[0.9344924688339233]
