,treino,previsto
gamma1,[0.6920224414883532],[0.7706018090248108]
gamma2,[0.3456424258652263],[0.3767455518245697]
gamma3,[0.897323531600062],[0.8093085289001465]
gamma4,[0.3169943908371815],[0.23429647088050842]
JXX,[-0.09830973170998192],[-0.3136775493621826]
JXY,[-0.12676086344783122],[-0.026562057435512543]
JXZ,[-0.91673110829594],[-0.9351156949996948]
JYX,[0.5352545159169328],[0.48199787735939026]
JYY,[0.34691071289664666],[0.10964947938919067]
JYZ,[0.341715081425054],[0.4950370192527771]
JZX,[-0.05466902390511197],[-0.1771436482667923]
JZY,[0.3454622280497679],[0.2786152958869934]
JZZ,[0.7649625069950898],[0.5876279473304749]
