,treino,previsto
gamma1,[0.08318062375973012],[0.07574348151683807]
gamma2,[0.8471707277144365],[0.865503191947937]
gamma3,[0.22742352882594852],[0.23877154290676117]
gamma4,[0.7892196963182868],[0.7576232552528381]
JXX,[-0.2588867178073859],[-0.2374211847782135]
JXY,[0.9003708718663839],[0.9333148002624512]
JXZ,[-0.5999070717600636],[-0.5988008379936218]
JYX,[-0.4060517541652038],[-0.4128904342651367]
JYY,[-0.16375735637421673],[-0.13364548981189728]
JYZ,[-0.5253895926232446],[-0.5399971604347229]
JZX,[-0.3972357250361773],[-0.3781698942184448]
JZY,[0.6815276211230483],[0.7000930309295654]
JZZ,[-0.020560708179608644],[0.009301409125328064]
