,treino,previsto
gamma1,[0.1224371932122491],[0.12635959684848785]
gamma2,[0.36368262779173954],[0.35495609045028687]
gamma3,[0.27610317904813664],[0.2534548342227936]
gamma4,[0.7548561847919819],[0.7572020888328552]
JXX,[-0.7080903986407061],[-0.6777966618537903]
JXY,[-0.6216493565570518],[-0.4982939064502716]
JXZ,[0.6782149346653983],[0.6620246767997742]
JYX,[0.08109353634994831],[0.06434205174446106]
JYY,[-0.43827709921987545],[-0.4235556423664093]
JYZ,[-0.3291341864361108],[-0.2810458540916443]
JZX,[0.08661423184359096],[0.07486696541309357]
JZY,[-0.34445619760718293],[-0.35285526514053345]
JZZ,[0.41979916256951233],[0.38478565216064453]
