,treino,previsto
gamma1,[0.8171021370471873],[0.8168668746948242]
gamma2,[0.10262153210647951],[0.10287033766508102]
gamma3,[0.8637801669945345],[0.8635745048522949]
gamma4,[0.09579963227952204],[0.09573282301425934]
JXX,[0.5830518719229318],[0.5828714370727539]
JXY,[-0.9379325277179429],[-0.9378464818000793]
JXZ,[0.6754839419077516],[0.6751967072486877]
JYX,[-0.3650404551155011],[-0.36506521701812744]
JYY,[-0.9759637002846477],[-0.9760501384735107]
JYZ,[-0.8606398745222861],[-0.8605123162269592]
JZX,[0.004466619199896327],[0.004419523756951094]
JZY,[0.2631832108452503],[0.2628519535064697]
JZZ,[0.642755936407096],[0.6425296068191528]
