,treino,previsto
gamma1,[0.26472725338019576],[0.26476022601127625]
gamma2,[0.27283011652347666],[0.27280035614967346]
gamma3,[0.07427986373631945],[0.07427121698856354]
gamma4,[0.7315481986397349],[0.7315884232521057]
JXX,[-0.5926591051578969],[-0.5927303433418274]
JXY,[-0.814613156303337],[-0.8146167397499084]
JXZ,[0.3189600046665215],[0.318922758102417]
JYX,[0.17225884362757293],[0.17230065166950226]
JYY,[0.26881842145966495],[0.26882514357566833]
JYZ,[-0.29030610911584054],[-0.29034751653671265]
JZX,[-0.0974703196240907],[-0.09748267382383347]
JZY,[0.7767386580946491],[0.7767857313156128]
JZZ,[0.635838140646408],[0.6358669996261597]
