,treino,previsto
gamma1,[0.9656464075038401],[0.9650596380233765]
gamma2,[0.6626277675625857],[0.662247359752655]
gamma3,[0.5405812068681397],[0.5401923656463623]
gamma4,[0.3879011757932824],[0.3876999318599701]
JXX,[-0.8193202914613009],[-0.8187541961669922]
JXY,[0.9012671291268881],[0.9007645845413208]
JXZ,[-0.7000578940080291],[-0.6997808218002319]
JYX,[0.47874074135255906],[0.47834742069244385]
JYY,[0.6824847918698727],[0.6821233630180359]
JYZ,[0.49427390372409374],[0.4938320219516754]
JZX,[-0.39612480866150146],[-0.39580038189888]
JZY,[-0.2967521262767605],[-0.29668155312538147]
JZZ,[0.44372522715230645],[0.44351863861083984]
