,treino,previsto
gamma1,[0.7304444585170966],[0.7301816940307617]
gamma2,[0.4323894557693134],[0.43249839544296265]
gamma3,[0.5600881671017948],[0.5599568486213684]
gamma4,[0.5427750652860777],[0.5428228974342346]
JXX,[-0.3425989589338041],[-0.342611700296402]
JXY,[0.966427833152556],[0.9662184119224548]
JXZ,[0.918495070954692],[0.9182166457176208]
JYX,[0.8366488800851453],[0.8363542556762695]
JYY,[0.5798112643432451],[0.57972651720047]
JYZ,[0.7501332473545428],[0.7499452829360962]
JZX,[-0.9991944506389123],[-0.9987666010856628]
JZY,[0.253978106028669],[0.2540877163410187]
JZZ,[-0.5047147084859811],[-0.5049128532409668]
