,treino,previsto
gamma1,[0.13021302275975688],[0.1302131563425064]
gamma2,[0.5313147518470183],[0.5311791300773621]
gamma3,[0.21390753049174072],[0.2138926088809967]
gamma4,[0.29465675376336253],[0.29470670223236084]
JXX,[-0.48198301656905285],[-0.48179197311401367]
JXY,[0.37051598592907387],[0.3706400394439697]
JXZ,[0.36816383603222147],[0.3680354058742523]
JYX,[0.6986723227798604],[0.6986193060874939]
JYY,[-0.6285516522525292],[-0.6283931136131287]
JYZ,[-0.5388827820690638],[-0.5388115048408508]
JZX,[-0.7056801636631644],[-0.7056036591529846]
JZY,[-0.5496741288757747],[-0.5497090816497803]
JZZ,[0.4680472044255459],[0.46812504529953003]
