,treino,previsto
gamma1,[0.7065646893037225],[0.7063349485397339]
gamma2,[0.7244493284983917],[0.7241272926330566]
gamma3,[0.7659427822583291],[0.7657378911972046]
gamma4,[0.44137775501430254],[0.4412543773651123]
JXX,[0.42468597565383703],[0.4245463013648987]
JXY,[0.6795994726237466],[0.6793090105056763]
JXZ,[-0.6348162260909651],[-0.6345701813697815]
JYX,[0.9965652550359014],[0.9962978959083557]
JYY,[-0.6118090425525051],[-0.6116509437561035]
JYZ,[0.34177346053199664],[0.341541051864624]
JZX,[-0.8164267732816153],[-0.8161088228225708]
JZY,[0.5154739618114095],[0.5151883363723755]
JZZ,[-0.6973994850161125],[-0.6973366141319275]
