,treino,previsto
gamma1,[0.0945328964594655],[0.1054699644446373]
gamma2,[0.5116781206617862],[0.4654090702533722]
gamma3,[0.15482334864507363],[0.17970091104507446]
gamma4,[0.2742295663585874],[0.29684096574783325]
JXX,[0.057870765880824626],[0.12862862646579742]
JXY,[0.1714937094997233],[0.16132095456123352]
JXZ,[0.6866524104671512],[0.6862422823905945]
JYX,[0.7972892825291862],[0.8085595369338989]
JYY,[0.7643730549373535],[0.7973878383636475]
JYZ,[-0.27060839601498476],[-0.31007325649261475]
JZX,[0.897680879601374],[0.8942378163337708]
JZY,[-0.15185093946021722],[-0.12253615260124207]
JZZ,[-0.3876324692199542],[-0.3895012438297272]
