,treino,previsto
gamma1,[0.3782620689642363],[0.38437896966934204]
gamma2,[0.8065579451696627],[0.8467795848846436]
gamma3,[0.5360527507784326],[0.5487663745880127]
gamma4,[0.7612906482611979],[0.7400180101394653]
JXX,[-0.5516290503053471],[-0.62274569272995]
JXY,[0.8652805931946954],[0.8773347735404968]
JXZ,[0.8914872178362601],[0.9459677934646606]
JYX,[-0.9544828513835384],[-0.9910866618156433]
JYY,[0.6938338920461884],[0.6212956309318542]
JYZ,[0.42874637280803074],[0.49179384112358093]
JZX,[0.3597921523702974],[0.32905516028404236]
JZY,[-0.9788509022210652],[-0.9900127053260803]
JZZ,[0.6566237432499853],[0.6426694989204407]
