,treino,previsto
gamma1,[0.5227993107629365],[0.4988929033279419]
gamma2,[0.9447007551242456],[0.909534215927124]
gamma3,[0.8818001335022669],[0.9067872166633606]
gamma4,[0.37096067220875817],[0.35067227482795715]
JXX,[-0.8451564322933918],[-0.8988574743270874]
JXY,[-0.5727664210700234],[-0.6818637251853943]
JXZ,[-0.39374332579442917],[-0.43801289796829224]
JYX,[0.8004273658662282],[0.8588561415672302]
JYY,[-0.00749501549718401],[-0.07156097888946533]
JYZ,[0.4404811417840462],[0.4668766260147095]
JZX,[-0.7995292644989436],[-0.8033958077430725]
JZY,[0.01785411432893702],[0.03314480185508728]
JZZ,[0.686145857826806],[0.6481975317001343]
