,treino,previsto
gamma1,[0.6920224414883532],[0.7591757774353027]
gamma2,[0.3456424258652263],[0.37420371174812317]
gamma3,[0.897323531600062],[0.8283775448799133]
gamma4,[0.3169943908371815],[0.2530083954334259]
JXX,[-0.09830973170998192],[-0.27329349517822266]
JXY,[-0.12676086344783122],[-0.04462188482284546]
JXZ,[-0.91673110829594],[-0.9378291368484497]
JYX,[0.5352545159169328],[0.49269941449165344]
JYY,[0.34691071289664666],[0.15828531980514526]
JYZ,[0.341715081425054],[0.4672628343105316]
JZX,[-0.05466902390511197],[-0.15226957201957703]
JZY,[0.3454622280497679],[0.2921808958053589]
JZZ,[0.7649625069950898],[0.6236795783042908]
