,treino,previsto
gamma1,[0.733744889835985],[0.7332810163497925]
gamma2,[0.6304437186278283],[0.6298403143882751]
gamma3,[0.5042791382906525],[0.5039942264556885]
gamma4,[0.8557982138654457],[0.8551992774009705]
JXX,[-0.8662320473144967],[-0.8658716678619385]
JXY,[-0.17351436714348134],[-0.17328901588916779]
JXZ,[-0.7789905321077226],[-0.778517484664917]
JYX,[0.504222922837068],[0.5037961006164551]
JYY,[0.0225702197513038],[0.022358980029821396]
JYZ,[-0.9006520110389387],[-0.9001516103744507]
JZX,[-0.9103850311286859],[-0.9098052978515625]
JZY,[0.4718687724460289],[0.4716584384441376]
JZZ,[-0.6913005045828078],[-0.6911181211471558]
