,treino,previsto
gamma1,[0.7314719162578773],[0.590114951133728]
gamma2,[0.5481151083373056],[0.4802325665950775]
gamma3,[0.6289233814359761],[0.6282739043235779]
gamma4,[0.5860643734085744],[0.5229642987251282]
JXX,[-0.512964474581326],[-0.26262393593788147]
JXY,[0.004417979006311912],[0.0773974135518074]
JXZ,[-0.6761249714183881],[-0.5953162908554077]
JYX,[0.6424444316865625],[0.509075939655304]
JYY,[-0.5372009749323281],[-0.4227655529975891]
JYZ,[0.10465728127714469],[0.04243600741028786]
JZX,[0.8527148495207293],[0.7331383228302002]
JZY,[-0.20524249153897567],[-0.1361573189496994]
JZZ,[0.9357357839289453],[0.9126796722412109]
