,treino,previsto
gamma1,[0.7434707928397064],[0.7433831691741943]
gamma2,[0.0357557155126923],[0.035921983420848846]
gamma3,[0.6249375571804716],[0.6249343752861023]
gamma4,[0.13501116090704035],[0.1348288208246231]
JXX,[-0.4562491712318184],[-0.45641645789146423]
JXY,[-0.02394358429818433],[-0.023693276569247246]
JXZ,[-0.8362413152576669],[-0.8361824750900269]
JYX,[-0.32253302601586054],[-0.3227508068084717]
JYY,[-0.855332784589292],[-0.8554733991622925]
JYZ,[-0.9779272658402001],[-0.9778650403022766]
JZX,[-0.4322994082024627],[-0.432322233915329]
JZY,[-0.7645872688839439],[-0.7646012902259827]
JZZ,[-0.37792355037599856],[-0.3780606687068939]
