,treino,previsto
gamma1,[0.2360563634962105],[0.23605994880199432]
gamma2,[0.0031806306102971638],[0.00318594160489738]
gamma3,[0.3710466916321078],[0.37104475498199463]
gamma4,[0.5853624971821242],[0.5853738188743591]
JXX,[-0.6701010403336041],[-0.6701048612594604]
JXY,[0.3795338484351347],[0.3795272707939148]
JXZ,[0.26999988080944126],[0.2700117528438568]
JYX,[-0.04179905588509758],[-0.04178585484623909]
JYY,[-0.5679713042121943],[-0.5679649710655212]
JYZ,[0.5852667164004928],[0.5852843523025513]
JZX,[0.6157086039068553],[0.6156741380691528]
JZY,[0.02491247927518625],[0.024921424686908722]
JZZ,[0.010168306940023353],[0.01016499474644661]
