,treino,previsto
gamma1,[0.6924227459953175],[0.6646754145622253]
gamma2,[0.21237676835833108],[0.19885163009166718]
gamma3,[0.9711059513537736],[0.9383962154388428]
gamma4,[0.07035548430116423],[0.06914473325014114]
JXX,[0.1623042650091293],[0.14434005320072174]
JXY,[-0.6104910089317266],[-0.647262692451477]
JXZ,[0.9305022141222223],[0.887436032295227]
JYX,[0.8479528033535886],[0.8905532360076904]
JYY,[-0.06572264360605207],[-0.09339562058448792]
JYZ,[0.3269412890601211],[0.352248877286911]
JZX,[-0.5709540605240639],[-0.594608724117279]
JZY,[-0.5566075009475187],[-0.5772585272789001]
JZZ,[-0.4229551332374877],[-0.4084831476211548]
