,treino,previsto
gamma1,[0.07199025068740816],[0.08463021367788315]
gamma2,[0.560915428900259],[0.5720590949058533]
gamma3,[0.26404199895882374],[0.2669757902622223]
gamma4,[0.6556721737484312],[0.6505030393600464]
JXX,[-0.170512001382642],[-0.16300010681152344]
JXY,[-0.424599654760373],[-0.419025719165802]
JXZ,[0.6894246819607532],[0.748002290725708]
JYX,[-0.11245795401256231],[-0.1797509491443634]
JYY,[0.05745311741676429],[-0.02962329052388668]
JYZ,[0.10251839349884273],[-0.02435038425028324]
JZX,[-0.3221938636021444],[-0.3672068119049072]
JZY,[0.2789912288854657],[0.2677718997001648]
JZZ,[0.8000753853551041],[0.7786815762519836]
