,treino,previsto
gamma1,[0.19592491833566006],[0.1958783119916916]
gamma2,[0.03453679871361848],[0.03450559452176094]
gamma3,[0.9796207979853099],[0.9795701503753662]
gamma4,[0.7048751023416616],[0.7047159075737]
JXX,[-0.2872035864745557],[-0.2871015965938568]
JXY,[0.6623205548983861],[0.6622753143310547]
JXZ,[-0.2952427056704183],[-0.2952677607536316]
JYX,[-0.8825503740913454],[-0.8824777007102966]
JYY,[-0.05333894071130718],[-0.05329990014433861]
JYZ,[0.4563627662832759],[0.4563213288784027]
JZX,[0.35697982544055074],[0.3569472134113312]
JZY,[-0.8706931801415108],[-0.8705952763557434]
JZZ,[-0.0059663070718503075],[-0.005946303717792034]
