,treino,previsto
gamma1,[0.13021302275975688],[0.18463441729545593]
gamma2,[0.5313147518470183],[0.3538532257080078]
gamma3,[0.21390753049174072],[0.19652511179447174]
gamma4,[0.29465675376336253],[0.338250994682312]
JXX,[-0.48198301656905285],[-0.18482227623462677]
JXY,[0.37051598592907387],[0.4867129325866699]
JXZ,[0.36816383603222147],[0.34768033027648926]
JYX,[0.6986723227798604],[0.5955092310905457]
JYY,[-0.6285516522525292],[-0.5294756293296814]
JYZ,[-0.5388827820690638],[-0.5932545065879822]
JZX,[-0.7056801636631644],[-0.6652610898017883]
JZY,[-0.5496741288757747],[-0.5895786285400391]
JZZ,[0.4680472044255459],[0.4559851586818695]
