,treino,previsto
gamma1,[0.20136711521936546],[0.18477179110050201]
gamma2,[0.8194173185392594],[0.791878342628479]
gamma3,[0.6529689056798653],[0.6480938792228699]
gamma4,[0.1474309569583241],[0.14519380033016205]
JXX,[-0.047683475541308695],[-0.10323190689086914]
JXY,[0.2604381086377703],[0.26762938499450684]
JXZ,[-0.19207806086305412],[-0.15438488125801086]
JYX,[0.8400480253526539],[0.8171383738517761]
JYY,[-0.9662967591954601],[-0.9486761689186096]
JYZ,[0.9752211014725047],[0.9602175354957581]
JZX,[0.40822888780668243],[0.38195064663887024]
JZY,[0.6079899762951007],[0.5961036086082458]
JZZ,[0.6062115991790376],[0.5897877216339111]
