,treino,previsto
gamma1,[0.23174148998607602],[0.16695988178253174]
gamma2,[0.9594850618366995],[0.7809990048408508]
gamma3,[0.3194518385537368],[0.28950411081314087]
gamma4,[0.6011422885889965],[0.6220952868461609]
JXX,[0.9164187596345457],[0.8384254574775696]
JXY,[-0.7192628198472104],[-0.6437100172042847]
JXZ,[-0.9527677057223489],[-0.5637722611427307]
JYX,[0.997261307345829],[0.9986321926116943]
JYY,[-0.6314927085942939],[-0.45628949999809265]
JYZ,[-0.75881587356935],[-1.0660068988800049]
JZX,[0.3028424811158388],[0.3551936745643616]
JZY,[-0.3087103248748666],[-0.17555716633796692]
JZZ,[0.7791018795916058],[0.9699674248695374]
