,treino,previsto
gamma1,[0.13021302275975688],[0.14957846701145172]
gamma2,[0.5313147518470183],[0.46503639221191406]
gamma3,[0.21390753049174072],[0.20721516013145447]
gamma4,[0.29465675376336253],[0.31634843349456787]
JXX,[-0.48198301656905285],[-0.38545289635658264]
JXY,[0.37051598592907387],[0.40384212136268616]
JXZ,[0.36816383603222147],[0.35307392477989197]
JYX,[0.6986723227798604],[0.6731518507003784]
JYY,[-0.6285516522525292],[-0.6059092879295349]
JYZ,[-0.5388827820690638],[-0.5793045163154602]
JZX,[-0.7056801636631644],[-0.696535050868988]
JZY,[-0.5496741288757747],[-0.5570605397224426]
JZZ,[0.4680472044255459],[0.44674357771873474]
