,treino,previsto
gamma1,[0.02834747652200631],[0.02837023325264454]
gamma2,[0.8357651039198697],[0.835716724395752]
gamma3,[0.43276706790505337],[0.4327131509780884]
gamma4,[0.762280082457942],[0.76237553358078]
JXX,[-0.7312715117751976],[-0.7312358021736145]
JXY,[0.6948674738744653],[0.6948643326759338]
JXZ,[0.5275492379532281],[0.527571976184845]
JYX,[-0.4898619485211566],[-0.48987939953804016]
JYY,[-0.009129825816118098],[-0.009143873117864132]
JYZ,[-0.10101787042252375],[-0.10069490224123001]
JZX,[0.3031859454455259],[0.30306464433670044]
JZY,[0.5774467022710263],[0.5773169994354248]
JZZ,[-0.8122808264515302],[-0.8122806549072266]
