,treino,previsto
gamma1,[0.9058727273132681],[0.7822240591049194]
gamma2,[0.28867836833405236],[0.21896442770957947]
gamma3,[0.35789010838860724],[0.3533364534378052]
gamma4,[0.30474034460297605],[0.30572178959846497]
JXX,[0.011880827540495353],[-0.005940817296504974]
JXY,[-0.09343057367074792],[-0.11203724890947342]
JXZ,[0.11594165163533754],[0.11440431326627731]
JYX,[-0.23155824126417013],[-0.2121915966272354]
JYY,[0.6690422746144482],[0.592778742313385]
JYZ,[-0.6811824865810532],[-0.5703942775726318]
JZX,[-0.0993246484870236],[-0.1570615917444229]
JZY,[0.5258626616390383],[0.5212349891662598]
JZZ,[0.21218691768397302],[0.33709919452667236]
