,treino,previsto
gamma1,[0.0852413172296076],[0.08103039115667343]
gamma2,[0.15331752856953773],[0.1122666448354721]
gamma3,[0.8252738498040315],[0.8886935710906982]
gamma4,[0.9797228526139108],[1.0007518529891968]
JXX,[-0.004926862482795391],[-0.05658997595310211]
JXY,[-0.4676525538549188],[-0.47438845038414]
JXZ,[0.27482232288738184],[0.2161821722984314]
JYX,[-0.5150404916324747],[-0.5377329587936401]
JYY,[-0.053662840025089587],[-0.04304153099656105]
JYZ,[0.9406722982235067],[0.940733015537262]
JZX,[-0.8296238699780065],[-0.8686187863349915]
JZY,[-0.36524216496358974],[-0.4071001708507538]
JZZ,[0.35288790697896677],[0.30455973744392395]
