,treino,previsto
gamma1,[0.4407622204637107],[0.43187087774276733]
gamma2,[0.028632026370586927],[0.0240689255297184]
gamma3,[0.8961816708493071],[0.8907032012939453]
gamma4,[0.12987407341084578],[0.1265152543783188]
JXX,[-0.08278658122587723],[-0.060775648802518845]
JXY,[0.75573580747802],[0.7400334477424622]
JXZ,[-0.936307039182035],[-0.9932697415351868]
JYX,[-0.43514770769241484],[-0.4140108823776245]
JYY,[0.9235823398396055],[0.9508090615272522]
JYZ,[0.32863746890923196],[0.3417404294013977]
JZX,[-0.7432552611528482],[-0.7546784281730652]
JZY,[-0.3032215345335192],[-0.27490904927253723]
JZZ,[0.7594986370688406],[0.7771930694580078]
