,treino,previsto
gamma1,[0.9928062363216612],[0.9939173460006714]
gamma2,[0.9285407455267378],[0.9098665714263916]
gamma3,[0.9383085490615657],[0.9397915005683899]
gamma4,[0.05438971809425153],[0.04461802542209625]
JXX,[-0.45701777348010886],[-0.45919862389564514]
JXY,[0.08381318894888312],[0.07133709639310837]
JXZ,[0.41626068745402045],[0.42226293683052063]
JYX,[0.917191422295486],[0.9082834124565125]
JYY,[-0.2618426626154975],[-0.26343590021133423]
JYZ,[0.06558319034107951],[0.08201174437999725]
JZX,[-0.2505554106105863],[-0.249411478638649]
JZY,[0.1001806372651497],[0.10112611949443817]
JZZ,[0.6830199055618982],[0.7032120823860168]
