,treino,previsto
gamma1,[0.6306505848550839],[0.6305899024009705]
gamma2,[0.5006197765650313],[0.5005788207054138]
gamma3,[0.8511188349123333],[0.8510494828224182]
gamma4,[0.028351246084461268],[0.028344914317131042]
JXX,[0.598230738233454],[0.598218560218811]
JXY,[-0.34818771187492725],[-0.348148912191391]
JXZ,[-0.5190129698346531],[-0.5189213156700134]
JYX,[0.6451117387363627],[0.645065426826477]
JYY,[-0.7698749260257931],[-0.769748866558075]
JYZ,[-0.047526449664778925],[-0.047568295150995255]
JZX,[0.11578945815114117],[0.11571718007326126]
JZY,[0.22266613301352445],[0.22262229025363922]
JZZ,[-0.7090570694820459],[-0.7089973092079163]
