,treino,previsto
gamma1,[0.45671696606312406],[0.4564582109451294]
gamma2,[0.924136409743439],[0.9236122965812683]
gamma3,[0.4459984687779922],[0.44583988189697266]
gamma4,[0.31335253476480773],[0.3132449686527252]
JXX,[0.7194568903837308],[0.7191024422645569]
JXY,[0.03055965702624408],[0.030537374317646027]
JXZ,[-0.7727784317840369],[-0.7720965147018433]
JYX,[-0.7587698727847505],[-0.7583590745925903]
JYY,[-0.3817575397810242],[-0.38151028752326965]
JYZ,[0.7508252688674453],[0.7502310872077942]
JZX,[0.8672964754196031],[0.8667430281639099]
JZY,[-0.2971753162130415],[-0.29691532254219055]
JZZ,[-0.11667111811504105],[-0.11631039530038834]
