,treino,previsto
gamma1,[0.444573573873013],[0.44463199377059937]
gamma2,[0.2210391731572191],[0.22074265778064728]
gamma3,[0.45503295884771644],[0.45453429222106934]
gamma4,[0.024766967489568525],[0.024696681648492813]
JXX,[0.8497305032518905],[0.848868727684021]
JXY,[0.8972115559863543],[0.8965070247650146]
JXZ,[0.7848666880971586],[0.7842008471488953]
JYX,[-0.8328986463386328],[-0.832162618637085]
JYY,[0.18405445377147056],[0.1837920844554901]
JYZ,[-0.15250518353007725],[-0.1534539759159088]
JZX,[0.06017602023601287],[0.060065653175115585]
JZY,[-0.7393941175050389],[-0.7393080592155457]
JZZ,[-0.6160056849214146],[-0.6156348586082458]
