,treino,previsto
gamma1,[0.6920224414883532],[0.7458406686782837]
gamma2,[0.3456424258652263],[0.3702583312988281]
gamma3,[0.897323531600062],[0.8473770022392273]
gamma4,[0.3169943908371815],[0.27103108167648315]
JXX,[-0.09830973170998192],[-0.2312195599079132]
JXY,[-0.12676086344783122],[-0.06490017473697662]
JXZ,[-0.91673110829594],[-0.9358372688293457]
JYX,[0.5352545159169328],[0.5048452615737915]
JYY,[0.34691071289664666],[0.2062782198190689]
JYZ,[0.341715081425054],[0.43937164545059204]
JZX,[-0.05466902390511197],[-0.12801972031593323]
JZY,[0.3454622280497679],[0.30560800433158875]
JZZ,[0.7649625069950898],[0.6591366529464722]
