,treino,previsto
gamma1,[0.3841711045442975],[0.38436126708984375]
gamma2,[0.7463951961663844],[0.705071747303009]
gamma3,[0.252383767513222],[0.21235594153404236]
gamma4,[0.5016026705680338],[0.5418601036071777]
JXX,[0.0439678194249864],[-0.048376306891441345]
JXY,[0.6133815542373582],[0.7113108038902283]
JXZ,[0.9209895486477535],[0.9792460799217224]
JYX,[-0.420749244471069],[-0.5041866898536682]
JYY,[0.5322148755959053],[0.30757707357406616]
JYZ,[0.4084397336868253],[0.3729490041732788]
JZX,[0.3227661144476608],[0.2772909104824066]
JZY,[-0.7796759021655764],[-0.7425329089164734]
JZZ,[-0.9461264424189464],[-1.076388955116272]
