,treino,previsto
gamma1,[0.9998162341661194],[0.9821227192878723]
gamma2,[0.23971518216378862],[0.18293677270412445]
gamma3,[0.33807775725669986],[0.33918270468711853]
gamma4,[0.7081943329851277],[0.7231128811836243]
JXX,[0.9304842831042459],[0.7860437035560608]
JXY,[-0.9766906124157178],[-0.8976207375526428]
JXZ,[0.4719832395937509],[0.38341960310935974]
JYX,[-0.6839745504705037],[-0.7399473786354065]
JYY,[0.9726789033256467],[0.8938405513763428]
JYZ,[-0.9662386915840475],[-0.7907936573028564]
JZX,[0.7589825362693423],[0.7386521697044373]
JZY,[0.3627013288028291],[0.31520920991897583]
JZZ,[0.7146847649630497],[0.5867720246315002]
