,treino,previsto
gamma1,[0.6171172778569672],[0.6293904185295105]
gamma2,[0.5033938387110474],[0.43487998843193054]
gamma3,[0.9661979651974597],[0.8397833108901978]
gamma4,[0.5282662248683354],[0.6426852345466614]
JXX,[0.1406568462737463],[0.16395466029644012]
JXY,[0.2644659911575571],[0.33633336424827576]
JXZ,[0.634007719766547],[0.5330327749252319]
JYX,[-0.44541829110731035],[-0.5113386511802673]
JYY,[0.30371993601715563],[0.3816888928413391]
JYZ,[0.7816219111185623],[0.7742339372634888]
JZX,[0.8176570464277362],[0.8479236364364624]
JZY,[-0.626974881004831],[-0.6246042251586914]
JZZ,[0.30345421888232527],[0.3358916938304901]
