,treino,previsto
gamma1,[0.3297995475987595],[0.3297814130783081]
gamma2,[0.1675882811446039],[0.16755510866641998]
gamma3,[0.6317971572750811],[0.6317092180252075]
gamma4,[0.8937793635045664],[0.8934228420257568]
JXX,[-0.01102512804113065],[-0.010992368683218956]
JXY,[0.11338346029479829],[0.11348278820514679]
JXZ,[0.6194855109905537],[0.619574248790741]
JYX,[-0.358768861095224],[-0.3586371839046478]
JYY,[-0.35806504184041565],[-0.35789453983306885]
JYZ,[0.38633367460551105],[0.38622674345970154]
JZX,[-0.02766565445920155],[-0.027684776112437248]
JZY,[-0.2813102593254373],[-0.2812311053276062]
JZZ,[-0.188999914209238],[-0.18901823461055756]
