,treino,previsto
gamma1,[0.18333476966499396],[0.18334563076496124]
gamma2,[0.9096814486371707],[0.9095492959022522]
gamma3,[0.4911694960396128],[0.4912055432796478]
gamma4,[0.0713372135887923],[0.07136759907007217]
JXX,[0.2969944399577662],[0.2969876229763031]
JXY,[0.40273908193734953],[0.40262651443481445]
JXZ,[0.9140940053161357],[0.9140780568122864]
JYX,[-0.6071937818236794],[-0.6070944666862488]
JYY,[-0.8692615292310002],[-0.8692084550857544]
JYZ,[0.6485148599678836],[0.6484812498092651]
JZX,[-0.3338666967613588],[-0.3337743282318115]
JZY,[-0.25525056072843344],[-0.25519317388534546]
JZZ,[0.6297316462233915],[0.6296237111091614]
