,treino,previsto
gamma1,[0.433483090039801],[0.4333689212799072]
gamma2,[0.5827558773717127],[0.5826842784881592]
gamma3,[0.09947541503447277],[0.09941310435533524]
gamma4,[0.3071740013389854],[0.3071938157081604]
JXX,[-0.7105588947326631],[-0.7102671265602112]
JXY,[-0.02020534897708659],[-0.02019188553094864]
JXZ,[0.010200296225074235],[0.010211886838078499]
JYX,[0.9376978550041575],[0.9375796914100647]
JYY,[0.6239745196640374],[0.6238434314727783]
JYZ,[0.5803349788037444],[0.5801495909690857]
JZX,[0.3600894847607672],[0.3599686920642853]
JZY,[-0.6868256663820986],[-0.6865502595901489]
JZZ,[0.826249436041292],[0.8262844085693359]
