,treino,previsto
gamma1,[0.6282076485972601],[0.6279900670051575]
gamma2,[0.8425333257485345],[0.8420838117599487]
gamma3,[0.6111943800752222],[0.6110502481460571]
gamma4,[0.222472203237136],[0.2224973887205124]
JXX,[-0.10972154968635439],[-0.10951769351959229]
JXY,[-0.4118230353222292],[-0.41156983375549316]
JXZ,[0.8188577481051011],[0.81859290599823]
JYX,[-0.031387304368323043],[-0.03143249452114105]
JYY,[-0.8259080739809848],[-0.825465202331543]
JYZ,[0.4999159288187607],[0.49962201714515686]
JZX,[-0.849123527714404],[-0.8489413857460022]
JZY,[-0.5949888037030053],[-0.5948614478111267]
JZZ,[-0.8521523054463589],[-0.8519948720932007]
