,treino,previsto
gamma1,[0.7701398359379902],[0.7698890566825867]
gamma2,[0.27269808567197074],[0.27266451716423035]
gamma3,[0.8019154831626036],[0.8014164566993713]
gamma4,[0.729824832622016],[0.7294294834136963]
JXX,[0.586680167523326],[0.586266040802002]
JXY,[0.6439080846394536],[0.6437578797340393]
JXZ,[-0.029930744138109366],[-0.029987676069140434]
JYX,[-0.47675703411068415],[-0.47664475440979004]
JYY,[-0.999096570229858],[-0.9986514449119568]
JYZ,[0.32563712576753523],[0.32551896572113037]
JZX,[-0.05949148587110997],[-0.05947595834732056]
JZY,[0.5194612701957861],[0.5191549062728882]
JZZ,[-0.2536792558523169],[-0.2537175714969635]
