,treino,previsto
gamma1,[0.6812220765393857],[0.6776552796363831]
gamma2,[0.5363810274705547],[0.5333156585693359]
gamma3,[0.8462927828514535],[0.8415784239768982]
gamma4,[0.22458305043747517],[0.22380058467388153]
JXX,[-0.6008225872917998],[-0.5981156229972839]
JXY,[0.23010520368993959],[0.22792835533618927]
JXZ,[-0.7857793521751026],[-0.7815738320350647]
JYX,[0.8103557816972058],[0.8065226078033447]
JYY,[-0.6158465411883403],[-0.6130439043045044]
JYZ,[-0.07755771611098128],[-0.07675763219594955]
JZX,[0.5424739695589225],[0.538783848285675]
JZY,[0.8158004931533465],[0.8111898899078369]
JZZ,[0.16443652246127072],[0.16402217745780945]
