,treino,previsto
gamma1,[0.4910757744119296],[0.4911164939403534]
gamma2,[0.30905556807451295],[0.3090161085128784]
gamma3,[0.40997825176431146],[0.40997713804244995]
gamma4,[0.8280561841162569],[0.8280783295631409]
JXX,[-0.7093276763334386],[-0.709407389163971]
JXY,[-0.30097748941397007],[-0.300959050655365]
JXZ,[-0.6741283351047271],[-0.6741021275520325]
JYX,[-0.5082135837716129],[-0.5082277655601501]
JYY,[0.38476156435115083],[0.3846878707408905]
JYZ,[-0.6899586608088255],[-0.6899564862251282]
JZX,[-0.2981621320585077],[-0.2982037663459778]
JZY,[-0.5989112539604846],[-0.598922610282898]
JZZ,[0.9488189626598429],[0.9487404227256775]
