,treino,previsto
gamma1,[0.7314719162578773],[0.6887593865394592]
gamma2,[0.5481151083373056],[0.5515711903572083]
gamma3,[0.6289233814359761],[0.6369033455848694]
gamma4,[0.5860643734085744],[0.5667256712913513]
JXX,[-0.512964474581326],[-0.40157824754714966]
JXY,[0.004417979006311912],[0.04906609654426575]
JXZ,[-0.6761249714183881],[-0.6672002077102661]
JYX,[0.6424444316865625],[0.5892270803451538]
JYY,[-0.5372009749323281],[-0.48815810680389404]
JYZ,[0.10465728127714469],[0.08442296832799911]
JZX,[0.8527148495207293],[0.8147350549697876]
JZY,[-0.20524249153897567],[-0.17413292825222015]
JZZ,[0.9357357839289453],[0.9388168454170227]
