,treino,previsto
gamma1,[0.03679243409125621],[-0.005795112811028957]
gamma2,[0.16929218901354948],[0.14461906254291534]
gamma3,[0.9969758715015804],[1.0658023357391357]
gamma4,[0.7468020404306424],[0.6148108839988708]
JXX,[0.23428295333990445],[0.2935279905796051]
JXY,[0.7802771064051002],[0.7782193422317505]
JXZ,[-0.0870255604078809],[-0.14796774089336395]
JYX,[0.42280951861583915],[0.40281087160110474]
JYY,[0.8739626067564656],[0.8203772306442261]
JYZ,[0.041119655381228304],[-0.09059342741966248]
JZX,[0.46768034181955564],[0.48312944173812866]
JZY,[0.45606486545824554],[0.39741870760917664]
JZZ,[0.7163732339305475],[0.8404443264007568]
