,treino,previsto
gamma1,[0.25510242142972195],[0.25509586930274963]
gamma2,[0.779815799401953],[0.779862642288208]
gamma3,[0.0254093514055741],[0.025443125516176224]
gamma4,[0.35218703417241026],[0.3521821200847626]
JXX,[-0.4403690528540243],[-0.4403666853904724]
JXY,[0.0042808872494692896],[0.004297229927033186]
JXZ,[0.12829563294553736],[0.1282758116722107]
JYX,[-0.07807628366854513],[-0.07807257026433945]
JYY,[0.1734731208329543],[0.17349588871002197]
JYZ,[-0.02553243332706523],[-0.025530943647027016]
JZX,[0.03579855711022262],[0.03576640412211418]
JZY,[-0.5955356590317753],[-0.5955658555030823]
JZZ,[-0.7792109396740667],[-0.7792384028434753]
