,treino,previsto
gamma1,[0.6842331280769555],[0.6439570784568787]
gamma2,[0.39667364503301394],[0.3395412564277649]
gamma3,[0.7775165878901124],[0.6606488227844238]
gamma4,[0.11839956986543854],[0.13159218430519104]
JXX,[-0.7863429245966886],[-0.7364513278007507]
JXY,[0.40517104797371095],[0.4066358804702759]
JXZ,[0.30408404062855077],[0.3069171905517578]
JYX,[0.8807047791322358],[0.7907581329345703]
JYY,[-0.4577695468793537],[-0.4267561733722687]
JYZ,[-0.48844897313392166],[-0.45701614022254944]
JZX,[0.4681187282893935],[0.4123239517211914]
JZY,[0.3169000364801515],[0.2728402018547058]
JZZ,[-0.39402405222328984],[-0.3488197922706604]
