,treino,previsto
gamma1,[0.10245584696998078],[0.10243022441864014]
gamma2,[0.26380664067454207],[0.2638067305088043]
gamma3,[0.9655730932373155],[0.9655581712722778]
gamma4,[0.48155277761710846],[0.48152828216552734]
JXX,[-0.2963074883442347],[-0.29628363251686096]
JXY,[-0.13962750801980395],[-0.13960033655166626]
JXZ,[-0.0926582728208516],[-0.09271994978189468]
JYX,[-0.31306051824349357],[-0.3130896985530853]
JYY,[0.024888729848817848],[0.024899685755372047]
JYZ,[-0.21516919708905635],[-0.21527765691280365]
JZX,[-0.9181825549143148],[-0.9181191921234131]
JZY,[-0.16293478520770655],[-0.16289064288139343]
JZZ,[-0.9526802754794608],[-0.9526157975196838]
