,treino,previsto
gamma1,[0.966730948165597],[0.9661629796028137]
gamma2,[0.8038946734021046],[0.8032878041267395]
gamma3,[0.41903060141150406],[0.4189336895942688]
gamma4,[0.8718372477591566],[0.871605396270752]
JXX,[0.16151432986791336],[0.16178378462791443]
JXY,[-0.5885520020378399],[-0.5880765914916992]
JXZ,[0.28393873546227],[0.2836979925632477]
JYX,[0.8929708779032515],[0.8925161957740784]
JYY,[-0.9175870687900451],[-0.9169831871986389]
JYZ,[-0.10120076827109403],[-0.10104517638683319]
JZX,[-0.2931088962646198],[-0.29271215200424194]
JZY,[-0.4241611986546143],[-0.42422419786453247]
JZZ,[0.7538488993092554],[0.7542281150817871]
