,treino,previsto
gamma1,[0.1693780871255699],[0.1692928969860077]
gamma2,[0.4115230620409567],[0.4114728569984436]
gamma3,[0.9938380127773296],[0.9937834143638611]
gamma4,[0.10324779991117994],[0.10328740626573563]
JXX,[0.8112793523490414],[0.8111402988433838]
JXY,[0.3725083140534051],[0.37249284982681274]
JXZ,[0.5330185127252884],[0.5330897569656372]
JYX,[0.8092324756265472],[0.809332013130188]
JYY,[-0.4803451050220462],[-0.48028314113616943]
JYZ,[0.2714517392119784],[0.2714713215827942]
JZX,[0.8098913893329576],[0.8098676800727844]
JZY,[0.7442607481394212],[0.7442197799682617]
JZZ,[0.14588133849844365],[0.145829439163208]
