,treino,previsto
gamma1,[0.06894367026654058],[0.0850907638669014]
gamma2,[0.3200841593158338],[0.23278316855430603]
gamma3,[0.8250920180563502],[0.7577965259552002]
gamma4,[0.8431495877420079],[0.8373401761054993]
JXX,[0.7765361529049761],[0.6830006241798401]
JXY,[-0.20001120805797412],[-0.13637231290340424]
JXZ,[0.17724036554846423],[0.29274770617485046]
JYX,[0.7195733470855228],[0.679479718208313]
JYY,[-0.5429215932707987],[-0.5310642123222351]
JYZ,[0.03143456804703959],[-0.0947679951786995]
JZX,[0.16746097114721215],[0.10242176800966263]
JZY,[0.8943990439534582],[0.7166814804077148]
JZZ,[-0.9356372202874645],[-0.8279696702957153]
