,treino,previsto
gamma1,[0.47149733572375285],[0.4713623821735382]
gamma2,[0.83833102010331],[0.8382128477096558]
gamma3,[0.9959490901086114],[0.9958277344703674]
gamma4,[0.5725822051460012],[0.5725167393684387]
JXX,[-0.1579107714267074],[-0.157781720161438]
JXY,[0.12982945963868775],[0.1298525184392929]
JXZ,[0.1162808953521044],[0.11628502607345581]
JYX,[0.17770025530371414],[0.1778155118227005]
JYY,[0.6015631527261587],[0.6014907956123352]
JYZ,[0.9337535631262239],[0.9336226582527161]
JZX,[0.34522097948514796],[0.34517863392829895]
JZY,[0.6176103665600245],[0.6175345778465271]
JZZ,[0.14054965261621977],[0.14053595066070557]
