,treino,previsto,MAPE,MSE,AE
gamma1,[0.6486196600598926],[0.648530900478363],0.00013684380384236986,7.878263313299157e-09,8.875958152954055e-05
gamma2,[0.3600039055970481],[0.359846830368042],0.00043631534703935266,2.4672627567318252e-08,0.00015707522900609838
gamma3,[0.7436517163788576],[0.7435879707336426],8.571975806827346e-05,4.063507283883281e-09,6.3745645215052e-05
gamma4,[0.3870233101693551],[0.38706880807876587],0.00011755857648694394,2.0700597607510303e-09,4.549790941077436e-05
JXX,[-0.012052371670506545],[-0.011810654774308205],0.020055546145315784,5.8427057907759405e-08,0.0002417168961983407
JXY,[-0.7209990500522725],[-0.720696747303009],0.0004192831450215422,9.138695221224705e-08,0.0003023027492634611
JXZ,[-0.974270856363531],[-0.9738220572471619],0.0004606512793005273,2.014206468536677e-07,0.00044879911636908076
JYX,[-0.8303830380614758],[-0.8303418159484863],4.964228687250986e-05,1.6992625993202637e-09,4.122211298951406e-05
JYY,[-0.4467194556101548],[-0.4464203715324402],0.0006695120930117349,8.945128554240338e-08,0.00029908407771461754
JYZ,[-0.6123969250196721],[-0.6123704314231873],4.326213180124436e-05,7.0191065470353e-10,2.6493596484877813e-05
JZX,[0.1360202390272387],[0.13591048121452332],0.0008069226572481142,1.204677745206511e-08,0.0001097578127153831
JZY,[0.058337161073580335],[0.05843386426568031],0.0016576602344088556,9.351507362325316e-09,9.670319209997835e-05
JZZ,[-0.6104254479830256],[-0.6104305386543274],8.339546325687239e-06,2.5914934303304334e-11,5.0906713018328276e-06
JIX,[0.5203229566195489],[0.520076334476471],0.00047397897774907973,6.082248145634236e-08,0.0002466221430779125
JIY,[0.027633204606499318],[0.027440784499049187],0.006963365638919552,3.702549775111989e-08,0.00019242010745013083
JIZ,[0.9942043682387769],[0.9937328696250916],0.00047424717567937715,2.2231094270719693e-07,0.0004714986136853394
JXI,[0.07844212328817135],[0.07859136909246445],0.0019026232085127927,2.2274310099093304e-08,0.00014924580429309664
JYI,[0.8711112121391873],[0.8709238171577454],0.00021512176497160375,3.5116879069623204e-08,0.00018739498144193512
JZI,[-0.7433546640431199],[-0.7433210015296936],4.528459301405375e-05,1.1331648101752448e-09,3.366251342629134e-05
