,treino,previsto,MAPE,MSE,AE
gamma1,[0.2356150800222051],[0.2619439363479614],0.11174520885197589,0.0006932086754223187,0.026328856325756322
gamma2,[0.17464896550344733],[0.1832527220249176],0.049263140475346516,7.402462628074227e-05,0.008603756521470274
gamma3,[0.4244121561757058],[0.4099353551864624],0.0341102411384514,0.0002095777668821593,0.014476800989243421
gamma4,[0.9777111756227775],[0.9399481415748596],0.03862391572221092,0.0014260467405042081,0.03776303404791792
JIX,[0.6289562908956208],[0.6698352694511414],0.0649949434440186,0.0016710908877427119,0.040878978555520584
JIY,[-0.8079541131822325],[-0.7616317868232727],0.057332867799278,0.002145757919305985,0.04632232635895983
JIZ,[0.8487886289478179],[0.8608424663543701],0.014201223950766713,0.00014529499622359688,0.012053837406552192
JXI,[0.46084424662008483],[0.4168333113193512],0.09550067213276027,0.001936962426045362,0.04401093530073363
JYI,[-0.4853199609607668],[-0.5457397103309631],0.12449467203159333,0.003650546113957341,0.06041974937019634
JZI,[-0.14503240733877742],[-0.15722393989562988],0.08406074739126804,0.00014863346608479344,0.012191532556852458
JXX,[-0.9317073426318694],[-0.9635503888130188],0.03417709051342214,0.0010139795900948143,0.031843046181149415
JXY,[-0.7054176645697114],[-0.6839869022369385],0.030380246213206525,0.00045927757416380067,0.021430762332772968
JXZ,[0.3028950750933861],[0.31251347064971924],0.031754876018923996,9.251353307808925e-05,0.009618395556333148
JYX,[0.5443779477967157],[0.4975740611553192],0.08597682332803494,0.002190603804740689,0.04680388664139645
JYY,[-0.6226038497325039],[-0.5825948715209961],0.06426073052503183,0.001600718337528909,0.04000897821150784
JYZ,[0.3931749682300858],[0.346951961517334],0.11756345252809211,0.002136566349567099,0.04622300671275181
JZX,[-0.24234069920584478],[-0.1906106173992157],0.2134601491872788,0.002676001363720537,0.05173008180662908
JZY,[0.09185539200009729],[0.05080247297883034],0.44692987670471723,0.001685342160166702,0.041052919021266954
JZZ,[0.6680002796644271],[0.7471212148666382],0.11844446418788603,0.006260122387272485,0.07912093520221108
